ID,Name,Sex,Height,Weight,Regions
102994,Jacqueline Rouvier (-Lyon),女,NAN,NAN,{'法国'}
102997,Christophe Roux,男,183.0,78.0,{'摩尔多瓦'}
103001,Ludovic Roux,男,181.0,63.0,{'法国'}
103004,Philippe Roux,男,176.0,75.0,{'瑞士'}
103014,Nino Rovelli,男,NAN,NAN,{'意大利'}
103032,Matthew Erick Rowe,男,NAN,NAN,{'英国'}
103034,Paul Edward Rowe,男,NAN,NAN,{'美国'}
103046,Matthew Rowley,男,183.0,67.0,{'加拿大'}
103055,Alain Roy,男,183.0,80.0,{'法国'}
103059,Jean-Philippe Roy,男,178.0,81.0,{'加拿大'}
103060,Jean-Yves Roy,男,178.0,84.0,{'加拿大'}
103065,"Matthew Spencer ""Matt"" Roy",男,178.0,86.0,{'美国'}
103066,Patrick Jacques Roy,男,183.0,86.0,{'加拿大'}
103067,Serge Roy,男,175.0,82.0,{'加拿大'}
103071,Dan Roycroft,男,178.0,73.0,{'加拿大'}
103082,Jzef Rak,男,172.0,66.0,{'波兰'}
103093,Mris Rozentls,男,182.0,97.0,{'拉脱维亚'}
103094,Franois Rozenthal,男,177.0,77.0,{'法国'}
103095,Maurice Rozenthal,男,177.0,77.0,{'法国'}
103096,Gyrgy Rozgonyi,男,175.0,67.0,{'匈牙利'}
103099,Sergey Leonidovich Rozhkov,男,175.0,68.0,{'俄罗斯'}
103106,Vclav Rozik,男,NAN,NAN,{'捷克共和国'}
103108,Jnis Rozte,男,NAN,NAN,{'拉脱维亚'}
103109,Reinis Roztis,男,181.0,86.0,{'拉脱维亚'}
103115,Aleksander Rozmus,男,169.0,72.0,{'波兰'}
103122,Michal Rozsval,男,188.0,95.0,{'捷克共和国'}
103131,John Ingebrigtsen Ren,男,NAN,NAN,{'挪威'}
103132,Arne Rgden,男,NAN,NAN,{'挪威'}
103137,Oddvar Mathias Rnnestad,男,NAN,NAN,{'挪威'}
103138,Eldar Rnning,男,178.0,73.0,{'挪威'}
103139,Frode Rnning,男,185.0,88.0,{'挪威'}
103146,Marianne Cecilie Lydersen Rrvik,女,161.0,55.0,{'挪威'}
103148,Sjur Rthe,男,171.0,NAN,{'挪威'}
103149,Bjarne Ryland,男,178.0,102.0,{'挪威'}
103150,Martin Nikolai Rymark,男,184.0,86.0,{'挪威'}
103151,Tom Eddy Rymark,男,182.0,78.0,{'挪威'}
103166,Rinaldo Ruatti,男,172.0,69.0,{'意大利'}
103175,Manuela Ruben,女,169.0,54.0,{'德国'}
103176,Mrti Rubenis,男,184.0,90.0,{'拉脱维亚'}
103178,Shona Rubens,女,170.0,78.0,{'加拿大'}
103185,Adolf Rubi,男,NAN,NAN,{'瑞士'}
103186,Fred Rubi,男,NAN,NAN,{'瑞士'}
103195,Karine Rubini,女,156.0,50.0,{'法国'}
103210,Jzef Rubi,男,176.0,73.0,{'波兰'}
103216,Karine Martine Ruby,女,165.0,61.0,{'法国'}
103218,"Lawrence ""Larry"" Rucchin",男,185.0,93.0,{'意大利'}
103221,Magorzata Ruchaa (Jasica-),女,168.0,58.0,{'波兰'}
103223,Martin Ruinsk,男,186.0,93.0,{'捷克共和国'}
